name,component,total
xmit_bytes,nid0:port0,1867776
xmit_bytes,nid1:port0,1867776
xmit_bytes,nid2:port0,3112960
xmit_bytes,nid3:port0,3112960
xmit_bytes,nid4:port0,3112960
xmit_bytes,nid5:port0,3112960
xmit_bytes,nid6:port0,3112960
xmit_bytes,nid7:port0,3112960
xmit_bytes,nid8:port0,1867776
xmit_bytes,nid9:port0,1867776
xmit_bytes,nid10:port0,0
xmit_bytes,nid11:port0,0
xmit_bytes,nid12:port0,0
xmit_bytes,nid13:port0,0
xmit_bytes,nid14:port0,0
xmit_bytes,nid15:port0,0
xmit_bytes,nid16:port0,0
xmit_bytes,nid17:port0,0
xmit_bytes,nid18:port0,0
xmit_bytes,nid19:port0,0
xmit_bytes,nid20:port0,0
xmit_bytes,nid21:port0,0
xmit_bytes,nid22:port0,0
xmit_bytes,nid23:port0,0
xmit_bytes,nid24:port0,0
xmit_bytes,nid25:port0,0
xmit_bytes,nid26:port0,0
xmit_bytes,nid27:port0,0
xmit_bytes,nid28:port0,0
xmit_bytes,nid29:port0,0
xmit_bytes,nid30:port0,0
xmit_bytes,nid31:port0,0
xmit_bytes,nid32:port0,0
xmit_bytes,nid33:port0,0
xmit_bytes,nid34:port0,0
xmit_bytes,nid35:port0,0
xmit_bytes,nid36:port0,0
xmit_bytes,nid37:port0,0
xmit_bytes,nid38:port0,0
xmit_bytes,nid39:port0,0
xmit_bytes,nid40:port0,0
xmit_bytes,nid41:port0,0
xmit_bytes,nid42:port0,0
xmit_bytes,nid43:port0,0
xmit_bytes,nid44:port0,0
xmit_bytes,nid45:port0,0
xmit_bytes,nid46:port0,0
xmit_bytes,nid47:port0,0
xmit_bytes,nid48:port0,0
xmit_bytes,nid49:port0,0
xmit_bytes,nid50:port0,0
xmit_bytes,nid51:port0,0
xmit_bytes,nid52:port0,0
xmit_bytes,nid53:port0,0
xmit_bytes,nid54:port0,0
xmit_bytes,nid55:port0,0
xmit_bytes,nid56:port0,0
xmit_bytes,nid57:port0,0
xmit_bytes,nid58:port0,0
xmit_bytes,nid59:port0,0
xmit_bytes,nid60:port0,0
xmit_bytes,nid61:port0,0
xmit_bytes,nid62:port0,0
xmit_bytes,nid63:port0,0
xmit_bytes,nid64:port0,0
xmit_bytes,nid65:port0,0
xmit_bytes,nid66:port0,0
xmit_bytes,nid67:port0,0
xmit_bytes,nid68:port0,0
xmit_bytes,nid69:port0,0
xmit_bytes,nid70:port0,0
xmit_bytes,nid71:port0,0
xmit_bytes,nid72:port0,0
xmit_bytes,nid73:port0,0
xmit_bytes,nid74:port0,0
xmit_bytes,nid75:port0,0
xmit_bytes,nid76:port0,0
xmit_bytes,nid77:port0,0
xmit_bytes,nid78:port0,0
xmit_bytes,nid79:port0,0
xmit_bytes,switch0:port0,2490368
xmit_bytes,switch0:port1,0
xmit_bytes,switch0:port2,2490368
xmit_bytes,switch0:port3,0
xmit_bytes,switch0:port4,0
xmit_bytes,switch0:port5,0
xmit_bytes,switch0:port6,1867776
xmit_bytes,switch0:port7,1867776
xmit_bytes,switch1:port0,2490368
xmit_bytes,switch1:port1,2490368
xmit_bytes,switch1:port2,0
xmit_bytes,switch1:port3,0
xmit_bytes,switch1:port4,0
xmit_bytes,switch1:port5,0
xmit_bytes,switch1:port6,3112960
xmit_bytes,switch1:port7,3112960
xmit_bytes,switch2:port0,2490368
xmit_bytes,switch2:port1,2490368
xmit_bytes,switch2:port2,0
xmit_bytes,switch2:port3,0
xmit_bytes,switch2:port4,0
xmit_bytes,switch2:port5,0
xmit_bytes,switch2:port6,3112960
xmit_bytes,switch2:port7,3112960
xmit_bytes,switch3:port0,2490368
